wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1B,DC,LL#11,"Tuesday, 09/30",LinkedIn LiveLab,,LevelUp SkillBuilder: SQL Subqueries,Career Milestone #2: Optimize Your LinkedIn Profile & LevelUp Milestone: Construction Job,"In this special lab—hosted by the wonderful Abby Samuelson, Director of Careers—we’ll focus on how to create or improve your LinkedIn profile to stand out in the job market and attract opportunities. We'll cover best practices for crafting a compelling headline, optimizing your profile for recruiter searches, showcasing your skills and projects, and building meaningful connections in your field. This session will be combined with students from other sections, so it’s a great chance to network and learn together!"
1B,DC,LL#12,"Thursday, 10/02",Project Work,,Portfolio Project: Sustainability Impact Analysis for Intel,Portfolio Project: An Intel Data Center,"In this lab, we'll wrap up the past six weeks by reflecting on everything you’ve accomplished and how far you’ve come! 🏆 This session is also dedicated to working on your portfolio project—whether you’re polishing your analysis or putting on the final touches."
1B,DC,LL#1,"Thursday, 10/16",Welcome to Python + Taylor Swift,,SkillBuilder 1: The Power of Python,"Milestone 1: Hello, World!","In this LiveLab, we’ll finally kick off our Python journey 🐍 by exploring the many ways you can use it in everyday life—including helping you find the perfect Taylor Swift song based on your mood 🎶 "
1B,DC,LL#2,"Tuesday, 10/21",SkullCapz Studios,,SkillBuilder 2: The Types of Data,Milestone 2: Cleaning & Analyzing Revenue Data for ASOS,"In this LiveLab, we’ll analyze data from SkullCapz Studios using Python, uncovering insights into game development, player engagement, and industry trends. 🐍🎮📊"
1B,DC,LL#3,"Thursday, 10/23",Headspace,,SkillBuilder 3: Dictionaries and Conditional Logic,Milestone 3: College Football Data Analysis,"In this LiveLab, we’ll analyze data from Headspace, exploring trends in meditation, user engagement, and mental wellness insights. 🧘‍♂️🐍📊"
1B,DC,LL#4,"Tuesday, 10/28",Let’s Play Wordle,,SkillBuilder 4: Build on the Basics,Career Milestone #3: Job Qualifications Analysis & Optional Level Up: Mid Experience Dr. Who? Game,"In this LiveLab, we’ll put our Python skills to the test by building our very own Wordle game! Get ready to code, guess, and have fun! 🐍🔠"
1B,DC,LL#5,"Thursday, 10/30",TicTacToe,,SkillBuilder 5: Introduction to Pandas,Milestone 5: Capital Bikeshare Ride Analysis,"In this LiveLab, we’ll put our Python skills to the test by building and playing our very own Tic Tac Toe game! Get ready to code, strategize, and have fun! ❌⭕"
1B,DC,LL#6,"Tuesday, 11/04",The National Park Service,,SkillBuilder 6: Pandas and Visualization,Milestone 6: NYC Public High School Data Analysis,"In this LiveLab, we’ll start visualizing data from the National Park Service using Python, uncovering insights about visitor trends and park popularity. 🌲🏞️📊"
1B,DC,LL#7,"Thursday, 11/06",Climb Together,,,Career Milestone #4: Is Your Resume Ready? Ask Bodhi!,"In this lab, we’ll hear from Climb Together 🌟—a company dedicated to building social capital and professional skills. They’ve created an AI chatbot called Goldi, designed to help students practice networking, interviewing, and other forms of professional communication."
1B,DC,LL#8,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",HOLIDAY,,SkillBuilder 7: Pandas and Filtering Data,Milestone 7: Exploratory Analysis of Olympic Athletes,No LiveLab on this day!
1B,DC,LL#9,"Thursday, 11/13",Build Up Nepal,,SkillBuilder 8: Cleaning and Summarizing Data,Milestone 8: Planetary Weather Data Analysis,"In this LiveLab, we’ll analyze data from Build Up Nepal, exploring trends in sustainable construction, housing development, and social impact. 🐍🏗️🇳🇵"
1B,DC,LL#10,"Tuesday, 11/18",The Recording Academy,,SkillBuilder 9: Pandas and Joining Data,,"In this LiveLab, we’ll analyze social media data from the Recording Academy, comparing the most popular posts during Grammy season versus the rest of the year. 🐍🏆"
1B,DC,LL#11,"Thursday, 11/20",CareerReady Workshop,,,Career Milestone #5: Bringing it All Together,"In this LiveLab, we’ll dive into career readiness with the one and only Abby Samuelson, Director of Careers! 🌟 Topic #1: Know who you are and what your value is. Topic #2: Know how to write it. Topic #3: Know how to share it. 💼📢"
1B,DC,LL#12,"Tuesday, 11/25",Project Work,,Portfolio Project: The Grammy Awards,Portfolio Project: Analyzing Website Performance for The Grammys,"In this LiveLab, we’ll focus on final project work—bringing together everything you’ve learned! We’ll also take time to reflect on our journey together over the past 12 weeks! 🚀📊"
