wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2A,DA,LL#12,"Wednesday, 10/01",Final Project Work,,Portfolio Project: Analyze Website Data for The Grammys 🎵 & Final Thoughts for Part 1,Portfolio Project: Analyzing Website Data with The Grammys,"In this lab, we'll wrap up the past six weeks by reflecting on everything you’ve accomplished and how far you’ve come! 🏆 This session is also dedicated to working on your portfolio project—whether you’re polishing your analysis, fine-tuning visuals, or putting on the final touches."
2A,DA,LL#1,"Monday, 10/06",Tableau VOTD & Honey Twigs,,Welcome & Getting Started & SkillBuilder 1: Tableau Basics,Milestone 1: Tableau Setup,
2A,DA,LL#2,"Wednesday, 10/08",Fast Food,,SkillBuilder 2: More Tableau Basics & Bar Charts,Milestone 2: UNESCO WHC Heritage List,
2A,DA,LL#3,"Monday, 10/13 SKIPPED FOR HOLIDAY!",HOLIDAY,,SkillBuilder 3: Cleaning Data & Common Charts,Milestone 3: Forbes and the Pay Gap in Hollywood,
2A,DA,LL#4,"Wednesday, 10/15",India Water Portal #1,,,Career Milestone #3: Job Qualifications Analysis,
2A,DA,LL#5,"Monday, 10/20",Critiquing Visualizations,,SkillBuilder 4: Data Visualization Best Practices,Milestone 4: More Practice with Basic Visualizations,
2A,DA,LL#6,"Wednesday, 10/22",Squirrel Census,,SkillBuilder 5: Calculated Fields,Milestone 5: Using Calculated Fields for UFO Sightings,
2A,DA,LL#7,"Monday, 10/27",Feedback in the Workplace,,,Career Milestone #4: Is Your Resume Ready? Ask Bodhi!,
2A,DA,LL#8,"Wednesday, 10/29",Video Games,,SkillBuilder 6: Joining & Blending Data,Milestone 6: Super Bowl Analysis,
2A,DA,LL#9,"Monday, 11/03",Scoop Analysis,,SkillBuilder 7: Visualizing Distributions,Milestone 7: NYC Green Taxi Fares,
2A,DA,LL#10,"Wednesday, 11/05",India Water Portal #2,,SkillBuilder 8: Dual Axis Plots & Parameters & SkillBuilder 9: Dashboards & Data Storytelling,Optional LevelUp Billboard Hits and Spotify Analysis,
2A,DA,LL#11,"Monday, 11/10",CareerReady Workshop,,Optional LevelUp SkillBuilder Time Series & Table Calculations,Career Milestone #5: Bringing it All Together & Optional LevelUp Pineapple on Pizza,
2A,DA,LL#12,"Wednesday, 11/12",Final Project Work,,Portfolio Project: Build a Data Center with Intel,Portfolio Project: Build a Data Center with Intel,
